,id,sender_id,type_name,timestamp,intent_name,action_name,data
0,1,48c58f0d3f964837b04d262795bdf49c,action,1649140000.0,,action_session_start,"{""event"": ""action"", ""timestamp"": 1649140582.3999517, ""name"": ""action_session_start"", ""policy"": null, ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
1,2,48c58f0d3f964837b04d262795bdf49c,session_started,1649140000.0,,,"{""event"": ""session_started"", ""timestamp"": 1649140582.3999746}"
2,3,48c58f0d3f964837b04d262795bdf49c,action,1649140000.0,,action_listen,"{""event"": ""action"", ""timestamp"": 1649140582.4000056, ""name"": ""action_listen"", ""policy"": null, ""confidence"": null, ""action_text"": null, ""hide_rule_turn"": false}"
3,4,48c58f0d3f964837b04d262795bdf49c,user,1649140000.0,inform_protocol,,"{""event"": ""user"", ""timestamp"": 1649140677.0876372, ""text"": ""\u8179\u6c34\u60a3\u8005\uff0c\u53ef\u4ee5\u5165\u5417"", ""parse_data"": {""intent"": {""id"": 9177003527686611680, ""name"": ""inform_protocol"", ""confidence"": 1.0}, ""entities"": [{""entity"": ""sub"", ""start"": 0, ""end"": 2, ""confidence_entity"": 0.9999701976776123, ""value"": ""\u8179\u6c34"", ""extractor"": ""DIETClassifier""}, {""entity"": ""main"", ""start"": 7, ""end"": 8, ""confidence_entity"": 0.9999480247497559, ""value"": ""\u5165\u9009\u6807\u51c6"", ""extractor"": ""DIETClassifier"", ""processors"": [""EntitySynonymMapper""]}], ""text"": ""\u8179\u6c34\u60a3\u8005\uff0c\u53ef\u4ee5\u5165\u5417"", ""message_id"": ""f3ec6d2e1a324fdea6ead04d6f17aada"", ""metadata"": {}, ""intent_ranking"": [{""id"": 9177003527686611680, ""name"": ""inform_protocol"", ""confidence"": 1.0}, {""id"": -6615642142846102497, ""name"": ""greet"", ""confidence"": 1.1956446621230793e-20}, {""id"": 7455794169569818241, ""name"": ""affirm"", ""confidence"": 9.143192433240875e-21}, {""id"": 8969938319004845645, ""name"": ""tell_name"", ""confidence"": 7.733986862180223e-21}, {""id"": 5041811802321404940, ""name"": ""mood_unhappy"", ""confidence"": 6.182535710225644e-21}, {""id"": -3894221895943696686, ""name"": ""bot_challenge"", ""confidence"": 4.322152390424899e-21}, {""id"": -5478541471816441110, ""name"": ""nlu_fallback"", ""confidence"": 3.6610476728874986e-21}, {""id"": -5006473580432750221, ""name"": ""mood_great"", ""confidence"": 3.325864233599495e-21}, {""id"": 1657018926561060819, ""name"": ""treatment_history"", ""confidence"": 3.2808531682556793e-21}, {""id"": -2309926734030426404, ""name"": ""out_of_scpe"", ""confidence"": 3.1372949228154643e-21}], ""response_selector"": {""all_retrieval_intents"": [], ""default"": {""response"": {""id"": null, ""responses"": null, ""response_templates"": null, ""confidence"": 0.0, ""intent_response_key"": null, ""utter_action"": ""utter_None"", ""template_name"": ""utter_None""}, ""ranking"": []}}}, ""input_channel"": ""rasa"", ""message_id"": ""f3ec6d2e1a324fdea6ead04d6f17aada"", ""metadata"": {}}"
4,5,48c58f0d3f964837b04d262795bdf49c,slot,1649140000.0,,main,"{""event"": ""slot"", ""timestamp"": 1649140677.0876584, ""name"": ""main"", ""value"": ""\u5165\u9009\u6807\u51c6""}"
5,6,48c58f0d3f964837b04d262795bdf49c,slot,1649140000.0,,sub,"{""event"": ""slot"", ""timestamp"": 1649140677.0876613, ""name"": ""sub"", ""value"": [""\u8179\u6c34""]}"
6,7,48c58f0d3f964837b04d262795bdf49c,user_featurization,1649140000.0,,,"{""event"": ""user_featurization"", ""timestamp"": 1649140677.1256979, ""use_text_for_featurization"": false}"
7,8,48c58f0d3f964837b04d262795bdf49c,action,1649140000.0,,action_check_protocol,"{""event"": ""action"", ""timestamp"": 1649140677.1257186, ""name"": ""action_check_protocol"", ""policy"": ""policy_2_RulePolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": true}"
8,9,48c58f0d3f964837b04d262795bdf49c,bot,1649140000.0,,,"{""event"": ""bot"", ""timestamp"": 1649140677.1258101, ""text"": "" \n\u6392\u9664\u6807\u51c6\u7b2c6\u6761 \n\u9700\u8981\u5f15\u6d41\u3001\u8179\u8154\u5206\u6d41\u672f\u6216\u6d53\u7f29\u65e0\u7ec6\u80de\u8179\u6c34\u518d\u8f93\u6ce8\u7597\u6cd5\u6cbb\u7597\u7684\u80f8\u8154\u79ef\u6db2\u3001\u8179\u6c34\u6216\u5fc3\u5305\u79ef\u6db2 \n***\u6b64\u9879\u4e0b\u8fd8\u6709\u4ee5\u4e0b\u95ee\u9898\uff0c\u8bf7\u53c2\u7167\u9009\u62e9\u3002\u60a8\u4e5f\u53ef\u4ee5\u8f93\u5165\u5176\u4ed6\u95ee\u9898\u3002\u8c22\u8c22***"", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": [{""payload"": ""/inform_protocol{\""sub\"": \""2.\\t\u786e\u8ba4\u4e00\u4e0b\u6211\u7684\u7406\u89e3\u662f\u5426\u6b63\u786e\uff0c\u5373\u5bf9\u4e8e\u6392\u9664\u6807\u51c66\uff0c\u8fd9\u53ea\u9002\u7528\u4e8e\u5728\u7b5b\u9009\u65f6\u9700\u8981\u5f15\u6d41\u7684\u60a3\u8005\uff0c\u5e76\u4e14\u53ef\u4ee5\u5141\u8bb8\u5728\u77e5\u60c5\u540c\u610f\u524d\u53d1\u751f\u7684\u4efb\u4f55\u5f15\u6d41\u3002\u8fd9\u662f\u76f8\u5173\u7684\uff0c\u56e0\u4e3a\u7814\u7a76\u4e2d\u5fc3\u53ef\u80fd\u4f1a\u4e3a\u60a3\u8005\u89c4\u5212\u4e00\u4e2a\u7ebf\u8def\u56fe\uff0c\u5176\u4e2d\u60a3\u8005\u76ee\u524d\u4e0d\u9002\u5408\u8fdb\u884c\u7814\u7a76\uff0c\u56e0\u4e3a\u5979/\u4ed6\u9700\u8981\u8fdb\u884c\u5f15\u6d41\uff0c\u4f46\u662f\u60a3\u8005\u4e00\u65e6\u4ece\u4e2d\u6062\u590d\uff0c\u53ef\u80fd\u4f1a\u88ab\u9080\u8bf7\u53c2\u4e0e\u7814\u7a76\u3002     \""}"", ""title"": ""2.\t\u786e\u8ba4\u4e00\u4e0b\u6211\u7684\u7406\u89e3\u662f\u5426\u6b63\u786e\uff0c\u5373\u5bf9\u4e8e\u6392\u9664\u6807\u51c66\uff0c\u8fd9\u53ea\u9002\u7528\u4e8e\u5728\u7b5b\u9009\u65f6\u9700\u8981\u5f15\u6d41\u7684\u60a3\u8005\uff0c\u5e76\u4e14\u53ef\u4ee5\u5141\u8bb8\u5728\u77e5\u60c5\u540c\u610f\u524d\u53d1\u751f\u7684\u4efb\u4f55\u5f15\u6d41\u3002\u8fd9\u662f\u76f8\u5173\u7684\uff0c\u56e0\u4e3a\u7814\u7a76\u4e2d\u5fc3\u53ef\u80fd\u4f1a\u4e3a\u60a3\u8005\u89c4\u5212\u4e00\u4e2a\u7ebf\u8def\u56fe\uff0c\u5176\u4e2d\u60a3\u8005\u76ee\u524d\u4e0d\u9002\u5408\u8fdb\u884c\u7814\u7a76\uff0c\u56e0\u4e3a\u5979/\u4ed6\u9700\u8981\u8fdb\u884c\u5f15\u6d41\uff0c\u4f46\u662f\u60a3\u8005\u4e00\u65e6\u4ece\u4e2d\u6062\u590d\uff0c\u53ef\u80fd\u4f1a\u88ab\u9080\u8bf7\u53c2\u4e0e\u7814\u7a76\u3002     ""}, {""payload"": ""/inform_protocol{\""sub\"": \""2. \u80f8\u8154\u79ef\u6db2\u4e0d\u9700\u8981\u5f15\u6d41\u7684\u60a3\u8005\u662f\u5426\u5f88\u7b26\u5408\u6761\u4ef6\\n\""}"", ""title"": ""2. \u80f8\u8154\u79ef\u6db2\u4e0d\u9700\u8981\u5f15\u6d41\u7684\u60a3\u8005\u662f\u5426\u5f88\u7b26\u5408\u6761\u4ef6\n""}, {""payload"": ""/inform_protocol{\""sub\"": \""D\""}"", ""title"": ""D""}, {""payload"": ""/inform_protocol{\""sub\"": \""\u4e3a\u4ec0\u4e48\u6709\u80f8\u8154\u79ef\u6db2\u7684\u60a3\u8005\u4e0d\u88ab\u5141\u8bb8\uff1f\u8fd9\u662f\u80ba\u764c\u7684\u5e38\u89c1\u75c7\u72b6\u3002\u6839\u636ePI\u7684\u5224\u65ad\uff0c\u7b26\u5408\u8be5\u6392\u9664\u6807\u51c6\u7684\u60a3\u8005\u5c06\u4e0d\u80fd\u53c2\u4e0e\u7814\u7a76\""}"", ""title"": ""\u4e3a\u4ec0\u4e48\u6709\u80f8\u8154\u79ef\u6db2\u7684\u60a3\u8005\u4e0d\u88ab\u5141\u8bb8\uff1f\u8fd9\u662f\u80ba\u764c\u7684\u5e38\u89c1\u75c7\u72b6\u3002\u6839\u636ePI\u7684\u5224\u65ad\uff0c\u7b26\u5408\u8be5\u6392\u9664\u6807\u51c6\u7684\u60a3\u8005\u5c06\u4e0d\u80fd\u53c2\u4e0e\u7814\u7a76""}, {""payload"": ""/inform_protocol{\""sub\"": \""\u53cd\u590d\u80f8\u8154\u7a7f\u523a\u7684\u60a3\u8005\u88ab\u6392\u9664\u5728\u5916\u5417\uff1f \\n\""}"", ""title"": ""\u53cd\u590d\u80f8\u8154\u7a7f\u523a\u7684\u60a3\u8005\u88ab\u6392\u9664\u5728\u5916\u5417\uff1f \n""}, {""payload"": ""/inform_protocol{\""sub\"": \""\u5bf9\u4e8e\u6392\u9664\u6807\u51c6#6\uff1a\u8bf7\u786e\u8ba4\u65e0\u9700\u5f15\u6d41\u7684\u80f8\u8154\u7a7f\u523a\u60a3\u8005\u662f\u5426\u5177\u5907\u7814\u7a76\u8d44\u683c\uff1f\\n\""}"", ""title"": ""\u5bf9\u4e8e\u6392\u9664\u6807\u51c6#6\uff1a\u8bf7\u786e\u8ba4\u65e0\u9700\u5f15\u6d41\u7684\u80f8\u8154\u7a7f\u523a\u60a3\u8005\u662f\u5426\u5177\u5907\u7814\u7a76\u8d44\u683c\uff1f\n""}, {""payload"": ""/inform_protocol{\""sub\"": \""\u6392\u9664\u6807\u51c66\uff1b\u6709\u9700\u8981\u5f15\u6d41\u7684\u80f8\u8154\u79ef\u6db2\u3001\u8179\u6c34\u6216\u5fc3\u5305\u79ef\u6db2\u75c5\u53f2\u7684\u60a3\u8005\u662f\u5426\u53ef\u4ee5\u63a5\u53d7\uff1f\u5982\u679c\u662f\uff0c\u622a\u6b62\u65f6\u95f4\u662f\u4ec0\u4e48\u65f6\u5019\uff1f \""}"", ""title"": ""\u6392\u9664\u6807\u51c66\uff1b\u6709\u9700\u8981\u5f15\u6d41\u7684\u80f8\u8154\u79ef\u6db2\u3001\u8179\u6c34\u6216\u5fc3\u5305\u79ef\u6db2\u75c5\u53f2\u7684\u60a3\u8005\u662f\u5426\u53ef\u4ee5\u63a5\u53d7\uff1f\u5982\u679c\u662f\uff0c\u622a\u6b62\u65f6\u95f4\u662f\u4ec0\u4e48\u65f6\u5019\uff1f ""}, {""payload"": ""/inform_protocol{\""sub\"": \""\u63a5\u53d7\u5f15\u6d41\u6216\u8179\u8154\u5206\u6d41\u672f\u540e\u4ece\u80f8\u8154\u79ef\u6db2\u4e2d\u6062\u590d\u7684\u53d7\u8bd5\u8005\u662f\u5426\u7b26\u5408\u7814\u7a76\u6761\u4ef6\uff1f  \""}"", ""title"": ""\u63a5\u53d7\u5f15\u6d41\u6216\u8179\u8154\u5206\u6d41\u672f\u540e\u4ece\u80f8\u8154\u79ef\u6db2\u4e2d\u6062\u590d\u7684\u53d7\u8bd5\u8005\u662f\u5426\u7b26\u5408\u7814\u7a76\u6761\u4ef6\uff1f  ""}, {""payload"": ""/inform_protocol{\""sub\"": \""\u662f\u5426\u6392\u9664\u7559\u7f6e\u5f15\u6d41\u7ba1\uff08PLEURX\u578b\uff09\u7684\u60a3\u8005\uff1f\u53cd\u590d\u80f8\u8154\u7a7f\u523a\u7684\u60a3\u8005\u4e5f\u88ab\u6392\u9664\u5728\u5916\u5417\uff1f \\n\u5982\u679c\u662f\uff0c\u7a7f\u523a\u540e\u7684\u6d17\u8131\u671f\u9700\u8981\u591a\u4e45\uff1f\u56e0\u4e3a\u8fd9\u4ee3\u8868\u4e86\u5f88\u5927\u4e00\u90e8\u5206\u60a3\u8005\""}"", ""title"": ""\u662f\u5426\u6392\u9664\u7559\u7f6e\u5f15\u6d41\u7ba1\uff08PLEURX\u578b\uff09\u7684\u60a3\u8005\uff1f\u53cd\u590d\u80f8\u8154\u7a7f\u523a\u7684\u60a3\u8005\u4e5f\u88ab\u6392\u9664\u5728\u5916\u5417\uff1f \n\u5982\u679c\u662f\uff0c\u7a7f\u523a\u540e\u7684\u6d17\u8131\u671f\u9700\u8981\u591a\u4e45\uff1f\u56e0\u4e3a\u8fd9\u4ee3\u8868\u4e86\u5f88\u5927\u4e00\u90e8\u5206\u60a3\u8005""}], ""attachment"": null, ""image"": null, ""custom"": null}, ""metadata"": {}}"
9,10,48c58f0d3f964837b04d262795bdf49c,slot,1649140000.0,,sub,"{""event"": ""slot"", ""timestamp"": 1649140677.1258204, ""name"": ""sub"", ""value"": null}"
